Q101	Q102	HAGE	Q103	Q106	Q107	Q108	Q109	Q201	Q202	Q203	Q204	Q205	Q205_98_OTHER	Q205B	Q205C	Q206	Q207	Q207_98_OTHER	Q207B	Q207C	Q208	Q209	Q209A	HGROUP	Q301_1	Q301B	Q302_1	Q302_2	Q302_3	Q302_4	Q302_5	Q302_6	Q302_7	Q302_8	Q302_9	Q302_10	Q302_11	Q303	Q304	Q305	Q305DK_99	HQ305	Q401_3	Q401_2	Q401_1	Q401DK_98	Q402	Q403N_1	Q403N_2	Q403N_3	Q403N_4	Q403N_5	Q403N_6	Q403N_7	Q404	Q405	Q406	Q406A	Q407	Q601	Q602_1	Q602_2	Q602_3	Q602_4	Q602_5	Q602_6	Q602_7	Q602_8	Q602_9	Q602_10	Q602_11	Q602_12	Q602_13	Q1106B1	Q1106B2_1	Q1106B2_2	Q1106B2_3	Q1106B2_4	Q1106B2_5	Q1106B2_6	Q1106B2_7	Q1106B2_8	HQ700_1	HQ700_2	HQ700_3	HQ700_4	HQ700_5	HQ700_6	HQ700_7	HQ700_8	HXNEW1_10	HXNEW1_20	HXNEW1_30	HXNEW1_40	HXNEW2_10	HXNEW2_20	HXNEW2_30	HXNEW2_40	HXNEWORDER_1	HXNEWORDER_2	Q701X1A	Q701X1	Q703X1	Q704X1	Q701X2A	Q701X2	Q703X2	Q704X2	Q701X3A	Q701X3	Q703X3	Q704X3	Q701X4A	Q701X4	Q703X4	Q704X4	Q701X5	Q703X5	Q704X5	Q701X6A	Q701X6	Q703X6	Q704X6	Q701X7A	Q701X7	Q703X7	Q704X7	Q701X8	Q703X8	Q704X8	HQ700ORDER_1	HQ700ORDER_2	Q1101	Q1101_98_OTHER	Q1102	Q1103	Q1104	Q1105	Q1106	Q1107	Q1101F	Q1102F	Q1103F	Q1104F	Q1105F	Q1106F	HXADITIONALTIME_1	HXADITIONALTIME_2	HXADITIONALTIME_3	HXADITIONALTIME_4	HXADITIONALTIME_5	HXADITIONALTIME_6	HXADITIONALTIME_7	HXADITIONALTIME_8	HFROMTIME_1	HTOTIME_1	HTOTIME_2	HTOTIME_3	HTOTIME_4	HTOTIME_5	HTOTIME_6	HTOTIME_7	HTOTIME_8	LOIM	HXNEW1_5	HXNEW2_5	HXNEW1_50	HXNEW1_60	HXNEW2_50	HXNEW2_60	BIDS	ORIGSVYLANG	CENSUSRGN	ID
1	1931	7	1	8	2	1	3	7	 	2	 	98	sister in law	2	78	2	 	 	 	 	 	 	 	4:Family member in NH currently long term	5	4	1	0	0	0	0	0	0	0	0	0	0	4	2	50	0	 	3	 	 	0	2	 	 	 	 	 	 	 	5	3	1	2	2	90	9	9	9	9	10	10	9	10	6	8	9	9	8	3	 	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	40	30	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	2	2	4	2	 	2	4	 	 	 	6	7	 	 	 	 	 	 	 	 	1	2	0	 	6	5	 	 	 	 	 	40	30	 	30	 	 	 	 	 	70	60	 	25.57	0	0	0	0	0	0	1	0	1	11
1	1943	6	1	8	2	3	5	7	 	2	 	1	 	2	99	2	 	 	 	 	 	 	 	4:Family member in NH currently long term	5	4	1	0	1	0	0	0	0	0	0	1	0	5	2	30	0	 	2	3	 	0	2	 	 	 	 	 	 	 	3	3	1	2	2	90	8	10	8	10	10	8	9	8	9	10	9	8	8	2	 	0	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	40	40	2	2	2	3	 	 	 	 	2	1	1	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	3	 	 	 	 	 	 	 	 	1	2	0	 	6	4	40	 	40	 	 	 	 	 	30	70	 	70	 	 	 	 	 	24.05	0	0	0	0	0	0	1	0	9	12
2	1972	4	1	6	2	1	2	7	 	2	 	2	 	2	91	2	 	 	 	 	 	 	 	4:Family member in NH currently long term	3	5	0	0	0	1	0	1	0	1	0	0	0	4	2	15	0	 	2	3	0	0	1	0	0	1	0	0	0	0	4	2	1	1	2	75	8	8	8	9	9	8	8	8	7	7	9	8	9	5	 	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	30	40	 	 	 	 	2	1	3	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	1	4	 	 	 	2	7	 	 	 	 	 	 	 	 	1	2	3	1	3	5	 	30	 	 	 	 	40	 	30	 	60	 	 	 	 	70	 	14.71	0	0	0	0	0	0	1	0	5	13
1	1965	4	1	3	1	1	1	7	 	2	 	1	 	1	88	1	 	 	 	 	 	 	 	2:Family member in NH currently short term	1	3	1	0	0	0	0	1	0	0	0	0	0	1	2	35	0	 	 	3	6	0	2	 	 	 	 	 	 	 	1	1	1	2	2	80	8	9	9	8	9	7	8	7	8	9	9	8	7	3	 	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	30	40	2	2	2	4	 	 	 	 	 	 	 	 	 	 	 	 	1	1	4	 	 	 	 	 	 	 	 	 	 	 	5	1	 	 	 	 	 	 	 	 	2	1	0	 	4	3	40	 	 	 	30	 	 	 	35	75	 	 	 	65	 	 	 	18.25	 	 	 	 	 	 	1	0	5	14
2	1993	1	1	3	1	6	3	7	 	2	 	2	 	2	65	2	 	 	 	 	 	 	 	4:Family member in NH currently long term	4	5	0	0	1	0	1	0	0	0	0	0	0	4	2	45	0	 	1	0	2	0	1	1	1	0	0	0	0	0	4	4	1	2	1	80	9	10	10	7	7	8	9	10	8	5	6	10	9	5	 	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	 	 	 	 	2	2	2	4	2	2	2	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	2	 	 	 	 	 	 	 	 	2	3	1	1	1	4	 	5	5	 	 	 	 	 	30	 	35	35	 	 	 	 	 	15.78	1	1	0	0	0	0	1	0	9	15
1	1993	1	1	3	1	5	1	7	 	2	 	2	 	1	75	1	 	 	 	 	 	 	 	2:Family member in NH currently short term	3	3	0	1	0	0	0	0	0	0	0	0	0	2	2	52	0	 	7	2	4	0	2	 	 	 	 	 	 	 	1	5	2	 	1	70	7	8	5	6	7	4	6	6	6	6	7	8	7	2	 	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	40	5	 	 	 	 	2	1	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	2	1	2	8	 	 	 	 	 	 	 	 	1	2	0	 	2	5	 	40	 	 	 	 	 	5	30	 	70	 	 	 	 	 	35	13.46	0	1	0	0	0	0	1	0	8	16
1	1950	6	1	4	2	1	5	7	 	2	 	1	 	2	91	2	 	 	 	 	 	 	 	4:Family member in NH currently long term	5	5	0	1	1	1	0	1	1	1	0	0	0	5	2	30	0	 	1	0	1	0	2	 	 	 	 	 	 	 	2	2	1	2	2	85	9	8	7	9	7	7	9	8	8	8	8	8	7	6	 	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	50	60	 	 	 	 	 	 	 	 	2	1	2	4	 	 	 	 	 	 	 	2	1	2	4	 	 	 	 	 	 	 	6	3	 	 	 	 	 	 	 	 	1	2	0	 	2	4	 	 	60	 	 	50	 	 	30	 	 	90	 	 	80	 	 	16.66	0	0	1	0	0	1	1	0	3	17
1	1992	2	1	6	2	3	4	7	 	2	 	2	 	2	87	2	 	 	 	 	 	 	 	4:Family member in NH currently long term	5	5	0	0	1	0	0	0	0	0	0	0	0	2	2	30	0	 	3	0	0	0	2	 	 	 	 	 	 	 	1	5	2	 	2	95	10	10	10	10	6	10	10	8	10	10	10	9	3	4	 	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	40	20	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	3	 	 	 	 	 	 	 	 	1	2	3	8	5	 	 	 	 	 	 	 	 	1	2	2	14	1	3	 	 	 	 	20	 	 	40	30	 	 	 	 	50	 	 	70	9.4	 	 	 	 	 	 	0	1	2	18
1	1994	1	1	3	2	1	1	7	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	5:Respondent in NH within last 6 mo short term	5	 	0	0	1	0	0	0	1	0	0	0	0	4	2	15	0	 	 	2	0	0	2	 	 	 	 	 	 	 	4	5	2	 	2	95	8	6	7	6	7	9	7	7	7	8	8	7	8	3	 	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	20	10	2	2	1	3	2	2	1	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	2	98	Friend	2	1	1	2	4	1	 	 	 	 	 	 	20	10	 	 	 	 	 	 	30	50	40	 	 	 	 	 	 	8.87	 	 	 	 	 	 	0	1	5	19
1	1970	4	1	8	2	1	4	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1:Respondent in NH currently short term	5	 	0	0	0	0	1	0	0	0	0	0	0	5	1	12	0	 	3	5	2	0	1	1	0	0	0	0	0	0	5	5	1	5	1	95	8	9	8	10	10	7	9	9	10	9	10	8	10	3	 	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	30	20	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	5	 	 	 	 	 	 	 	 	1	1	5	8	5	1	 	3	3	3	1	5	4	 	 	 	 	 	 	 	 	 	 	20	 	 	30	30	 	 	 	 	50	 	 	60	10.89	 	 	 	 	 	 	0	1	2	20
2	1990	2	1	6	2	1	9	7	 	2	 	2	 	1	72	2	 	 	 	 	 	 	 	4:Family member in NH currently long term	2	2	0	0	0	0	0	1	0	1	0	0	0	4	2	30	1	1	2	3	1	0	2	 	 	 	 	 	 	 	4	4	2	 	2	80	8	9	8	8	9	8	9	9	9	8	9	9	9	5	 	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	40	20	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	1	3	 	 	 	 	 	 	 	 	2	2	4	5	8	 	 	 	 	 	 	 	 	1	2	1	3	1	4	 	 	 	 	40	 	 	20	30	 	 	 	 	70	 	 	50	7.31	 	 	 	 	 	 	0	1	6	21
1	1993	1	1	2	1	5	3	7	 	2	 	2	 	2	89	2	 	 	 	 	 	 	 	4:Family member in NH currently long term	3	3	0	0	1	0	0	0	1	1	1	0	0	2	2	30	1	1	2	3	6	0	2	 	 	 	 	 	 	 	2	4	2	 	1	55	8	6	8	6	7	6	6	7	8	8	7	7	8	5	 	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	20	40	2	1	2	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	1	4	 	 	 	 	 	 	 	1	6	 	 	 	 	 	 	 	 	2	2	1	14	8	4	20	 	 	 	 	40	 	 	30	50	 	 	 	 	70	 	 	7.6	 	 	 	 	 	 	0	1	2	22
2	1995	1	1	3	1	6	3	7	 	2	 	2	 	2	67	2	 	 	 	 	 	 	 	4:Family member in NH currently long term	4	3	1	1	0	0	0	0	0	0	0	1	0	2	2	20	0	 	1	1	1	0	1	1	1	0	0	1	0	0	2	2	1	2	1	70	7	8	8	7	7	7	7	7	7	8	8	7	7	2	 	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	20	20	 	 	 	 	 	 	 	 	1	2	3	2	1	2	1	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	4	 	 	 	 	 	 	 	 	2	1	1	0	2	4	 	 	20	20	 	 	 	 	30	 	 	50	50	 	 	 	 	10.85	 	 	 	 	 	 	0	1	9	23
1	1977	3	1	6	2	3	5	7	 	2	 	4	 	1	59	1	 	 	 	 	 	 	 	2:Family member in NH currently short term	4	4	0	0	0	1	0	0	0	0	0	0	0	3	2	500	0	 	2	1	1	0	2	 	 	 	 	 	 	 	4	4	2	 	1	70	7	9	7	10	9	5	8	7	8	8	3	6	8	3	 	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	10	40	2	1	1	5	 	 	 	 	2	1	1	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	3	 	 	 	 	 	 	 	 	1	2	1	9	1	4	10	 	40	 	 	 	 	 	30	40	 	70	 	 	 	 	 	16.78	 	 	 	 	 	 	0	1	2	24
2	1980	3	1	4	2	1	3	7	 	2	 	2	 	2	93	2	 	 	 	 	 	 	 	4:Family member in NH currently long term	1	3	1	0	0	0	0	0	0	0	0	0	0	3	2	20	0	 	4	6	1	0	2	 	 	 	 	 	 	 	3	3	1	5	2	60	6	6	5	8	5	6	6	5	5	6	7	7	5	6	 	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	20	30	 	 	 	 	2	1	3	1	 	 	 	 	 	2	3	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	4	 	 	 	 	 	 	 	 	6	2	2	7	9	5	 	20	 	30	 	 	 	 	30	 	50	 	60	 	 	 	 	9.34	 	 	 	 	 	 	0	1	3	25
2	1943	6	1	6	2	1	2	7	 	2	 	98	Aunt	2	103	2	 	 	 	 	 	 	 	4:Family member in NH currently long term	3	4	0	0	0	1	0	1	0	0	0	0	0	2	2	420	0	 	2	 	 	0	2	 	 	 	 	 	 	 	3	4	2	 	2	90	8	9	9	8	8	7	9	8	8	9	9	9	9	2	 	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	10	10	 	 	 	 	 	 	 	 	2	1	2	5	 	 	 	 	 	 	 	2	2	1	5	 	 	 	 	 	 	 	3	6	 	 	 	 	 	 	 	 	5	1	0	 	6	5	 	 	10	 	 	10	 	 	30	 	 	40	 	 	40	 	 	19.63	 	 	 	 	 	 	0	1	4	26
1	1993	1	1	6	2	1	4	7	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	5:Respondent in NH within last 6 mo short term	5	 	0	0	0	0	0	0	0	0	0	1	0	7	1	10	0	 	 	 	 	1	1	1	0	0	0	0	0	0	5	5	1	1	1	85	9	9	6	6	7	9	8	10	7	5	8	10	6	5	 	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	20	40	 	 	 	 	 	 	 	 	1	1	1	5	 	 	 	 	1	1	5	 	 	 	 	 	 	 	 	 	 	 	5	3	1	 	3	1	1	1	4	4	 	 	 	 	 	 	 	 	40	 	20	 	 	 	30	 	 	70	 	50	 	 	 	25.89	 	 	 	 	 	 	0	1	6	27
2	1948	6	1	6	2	1	3	7	 	2	 	4	 	2	73	2	 	 	 	 	 	 	 	4:Family member in NH currently long term	1	4	1	0	1	0	0	0	1	0	0	0	0	2	2	30	1	1	2	 	 	0	1	0	0	0	0	1	0	0	3	4	2	 	2	70	8	8	8	8	10	7	10	10	10	10	8	10	10	5	 	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	20	10	 	 	 	 	2	1	1	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	2	3	 	 	 	7	2	 	 	 	 	 	 	 	 	1	2	0	 	6	5	 	10	 	 	 	 	20	 	30	 	40	 	 	 	 	50	 	11.13	 	 	 	 	 	 	0	1	8	28
1	1992	2	1	5	2	1	4	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1:Respondent in NH currently short term	4	 	1	0	1	0	0	0	1	0	0	0	0	4	1	30	0	 	2	2	2	0	1	1	0	0	1	0	0	0	5	4	1	5	1	90	8	9	6	7	9	8	9	8	9	9	8	10	10	6	 	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	30	10	 	 	 	 	1	1	1	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	2	1	4	 	 	 	2	7	3	 	2	2	3	1	4	4	 	 	 	 	 	 	 	30	 	 	 	 	10	 	30	 	60	 	 	 	 	40	 	6.99	 	 	 	 	 	 	0	1	3	29
1	1993	1	1	1	2	1	3	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1:Respondent in NH currently short term	5	 	0	0	0	0	1	0	0	0	0	0	0	1	1	2	0	 	1	1	0	0	1	1	0	0	0	0	0	0	5	5	1	1	1	100	10	10	10	10	10	10	10	10	10	10	10	10	10	2	 	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	20	40	 	 	 	 	 	 	 	 	1	1	1	5	 	 	 	 	 	 	 	 	 	 	 	1	1	1	5	 	 	 	7	3	1	 	2	1	3	1	5	3	 	 	 	 	 	 	 	 	40	 	 	 	20	 	30	 	 	70	 	 	 	50	 	7.86	 	 	 	 	 	 	0	1	3	30
2	1996	1	1	4	2	2	1	7	 	2	 	98	Family  friend	2	45	1	 	 	 	 	 	 	 	2:Family member in NH currently short term	1	2	1	0	0	0	0	0	0	0	0	0	0	2	3	20	0	 	1	2	0	0	2	 	 	 	 	 	 	 	4	3	2	 	1	95	7	10	9	10	7	8	8	7	7	9	6	10	8	2	 	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	20	40	 	 	 	 	 	 	 	 	2	2	2	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	2	4	8	3	 	 	 	 	 	 	 	 	2	2	0	 	8	5	 	 	40	 	 	 	 	20	30	 	 	70	 	 	 	 	50	13.07	 	 	 	 	 	 	0	1	2	31
